bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city,model
SUV,5,70000,2016,Petrol,2,Automatic,675000,Third Party,1499,Ford,6,15.63,FWD,Bangalore,Ford Ecosport
Hatchback,5,70000,2013,Petrol,2,Manual,330000,Third Party,1198,Honda,5,19.4,FWD,Bangalore,Honda Brio
Sedan,5,46429,2018,Petrol,2,Automatic,875000,Third Party,1496,Toyota,7,17.8,FWD,Bangalore,Toyota Yaris
Hatchback,5,17624,2017,Petrol,1,Manual,869000,Comprehensive,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Sedan,5,100000,2012,Diesel,2,Manual,425000,Third Party,1598,Volkswagen,5,20.54,FWD,Bangalore,Volkswagen Vento
Sedan,5,30000,2019,Petrol,1,Manual,1070000,Third Party,1497,Honda,5,17.4,FWD,Bangalore,Honda City
SUV,5,49690,2018,Petrol,2,Manual,1025000,Third Party,1496,Ford,5,15.9,FWD,Bangalore,Ford Ecosport
SUV,7,110000,2016,Diesel,1,Manual,1000000,Third Party,2179,Mahindra,6,16.0,FWD,Bangalore,Mahindra XUV500
Sedan,5,50000,2009,Petrol,1,Manual,375000,Third Party,1368,Fiat,5,16.0,FWD,Bangalore,Fiat Linea
SUV,5,55702,2018,Petrol,1,Automatic,844000,Comprehensive,1497,Ford,6,14.8,FWD,Bangalore,Ford Ecosport
Hatchback,5,45046,2016,Diesel,1,Manual,764000,Third Party,1396,Hyundai,6,21.19,FWD,Bangalore,Hyundai i20 Active
Hatchback,5,53000,2014,Petrol,2,Manual,420000,Third Party,1197,Maruti,5,18.5,FWD,Bangalore,Maruti Ritz
Hatchback,5,94695,2016,Diesel,1,Manual,684000,Third Party,1248,Maruti,5,27.39,FWD,Bangalore,Maruti Baleno
Hatchback,5,22162,2019,Petrol,1,Manual,802999,Zero Dep,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Hatchback,5,70000,2010,Petrol,2,Manual,320000,Third Party,1086,Hyundai,5,17.92,FWD,Bangalore,Hyundai Santro Xing
Sedan,5,115331,2017,Diesel,1,Manual,803999,Comprehensive,1498,Honda,6,26.0,FWD,Bangalore,Honda City
Sedan,5,70000,2013,Diesel,2,Automatic,1400000,Third Party,2148,Mercedes-Benz,5,10.0,RWD,Bangalore,Mercedes-Benz E-Class
Hatchback,5,42233,2016,Petrol,2,Manual,548000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Hatchback,5,20941,2019,Petrol,1,Manual,619000,Comprehensive,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
SUV,5,50000,2018,Diesel,2,Manual,1000000,Third Party,1248,Maruti,5,24.3,FWD,Bangalore,Maruti Vitara Brezza
